Token,Lemma
Wöchentlich,Wöchentlich
 , 
30,30
 , 
Piennig,Piennig
(,--
glich,glich
frei,frei
ins,in
Haus,Haus
.,--
 , 
Einzo'nummer,Einzo'nummer
10,10
Pfennig,Pfennig
 , 
ira,ira
HON,HON
 , 
1'380,1'380
vs,vs
11,11
Re,re
 , 
Der,der
Erlaß,Erlaß
des,der
Kaisers,Kaiser
.,--
 , 
Berlin,Berlin
",",--
30.,30.
Scptember,Scptember
.,--
 , 
Seine,sein
Majestät,Majestät
der,der
Kaiser,Kaiser
hat,haben
an,an
den,der
NMeichskanzler,NMeichskanzler
Grafen,Grafen
von,von
Hertling,Hertling
fol-,fol
Heuden,Heude
Erlaß,Erlaß
gerichtet,richten
:,--
 , 
Eure,euer
Exzellenz,Exzellenz
haben,haben
mir,mir
vor,vor
»,--
Detragen,Detrag
",",--
daß,daß
Sie,sie
sich,sich
nicht,nicht
mehr,mehr
in,in
der,der
Lage,Lage
glauben,glauben
",",--
an,an
der,der
Spie,Spie
der,der
Ne-,Ne
gierung,Gierung
zu,zu
verbleiben,verbleiben
.,--
Ic,Ic
<,<
will,wollen
mich,mich
Ihren,ihr
Gründen,Grund
nicht,nicht
verschließen,verschließen
und,und
muß,müssen
mit,mit
schwerem,schwer
Herzen,Herz
Ihrer,ihr
weiteren,weit
Mitarbeit,Mitarbeit
entsagen,entsagen
.,--
Der,der
Dank,dank
des,der
Vaterlandes,Vaterland
für,für
das,der
von,von
Ihnen,ihnen
durch,durch
Uedernahme,Uedernahme
des,der
Reichskauzler-,Reichskauzler
amtes,amt
in,in
ernster,ernst
Zeit,Zeit
gebracht,bringen
?,--
zmnd,zmnd
die,der
von,von
Ihnen,ihnen
geleisteten,geleistet
Dics,Dic
Sleidt,Sleidt
Ihnen,ihnen
sicher,sicher
.,--
 , 
Kimmung,Kimmung
der,der
Geschicke,Geschick
des,der
Vaterlandes,Vaterland
mitarbeitet,mitarbeitet
.,--
Es,es
ist,sein
daher,daher
mein,mein
Wille,Wille
",",--
„,--
daß,daß
Männer,Mann
",",--
die,der
vom,von
Vertrauen,vertrauen
des,der
Volkes,Volk
getragen,tragen
sind,sein
",",--
in,in
weitem,weit
Um-,Um
fange,fang
teiluchmen,Teiluchmen
an,an
ven,v
Nechten,Necht
und,und
„,--
Pflichten,Pflicht
der,der
Regierung,Regierung
.,--
Ich,ich
bitte,bitte
Gie,Gie
",",--
Zhr,Zhr
Werk,Werk
damit,damit
abzu-,abzu-
daß,daß
Sie,sie
die,der
Geschäfte,Geschäft
weiter-,weiter
führen,führen
und,und
die,der
von,von
mir,mir
gewollten,gewollt
Maße,Maß
nahmen,nehmen
in,in
die,der
Wege,Weg
leiten,leiten
",",--
bis,bis
ich,ich
deu,deu
Nachfolger,Nachfolger
für,für
Sie,sie
gefunden,finden
habe,haben
.,--
Düren,düren
Vorschlägen,Vorschlag
hierfür,hierfür
sche,schen
ich,ich
ent-,ent
 , 
|,|
ad,ad
Großes,Groß
Hauptquartier,Hauptquartier
",",--
den,der
80.,80.
Eeptember,Eeptember
1918.,1918.
 , 
gez,gez
.,--
Wilhelm,Wilhelm
1.,1.
B.,B.
 , 
Payer,Payer
Sertlings,Sertling
Bachsolger,Bachsolger
?,--
 , 
iis,iis
Tormutierung,Tormutierung
des,der
Mehrheitse,Mehrheitse
programms,Programm
.,--
 , 
Zn,zn
parlamentarischen,parlamentarisch
Kreisen,Kreis
ist,sein
gestern,gestern
die,der
 , 
Die,der
Mehrheitsparteien,Mehrheitsparteie
schcinen,schcinen
immer,immer
mehr,mehr
der,der
Ausicht,Ausicht
zuzuneigen,zuzuneigen
",",--
daß,daß
die,der
erste,erster
parlamentarische,parlamentarische
des,der
Deutschen,deutsch
Reiches,Reich
auch,auch
ven,ven
ex,ex
:,--
cm,cm
 , 
Ankündigung,Ankündigung
des,der
Vizekanzlers,Vizekanzler
Hauptausschuß,Hauptausschuß
haben,haben
schou,Schou
gestern,gestern
späten,spät
Nachmittagstvuden,nachmittagstvud
Ur.tcrhenklun,Ur.tcrhenklun
»,--
den,der
Parteien,Partei
über,über
die,der
Parlamentarisle-,Parlamentarisle
xuyg,xuyg
der,der
Reicher,Reicher
gierung,Gierung
begonnen,beginnen
.,--
Diese,dieser
Ver-,Ver
werden,werden
im,in
Namen,Name
der,der
Negieruyng,Negieruyng
von,von
Payer,Payer
und,und
vom,von
Reichs,Reich
taatsfeive-,taatsfeive
Grofsen,Grofse
Nödern,Nöder
geführt,führen
.,--
Die,der
Lerkart-,Lerkart
en,en
ai,ai
Wsftigen,Wsftigen
Nachmittag,Nachmittag
bis,bis
in,in
fortgeseßt,fortgeseßen
und,und
werden,werden
heute,heute
at,at
Die,der
Regierung,Regierung
ver-,ver
u,u
Parteien,Partei
",",--
bat,bitten
anch,Anch
eine,ein
interfrak,Interfrak
«,--
esprechung,Esprechung
der,der
Mehrheits,Mehrheit
die,der
der,der
abichlieheaden,Abichliehead
des,der
 , 
Mehrheitspregraunnes,Mehrheitspregraunn
ge-,ge
Hat,haben
",",--
das,der
nun,nun
als,als
Grundlage,Grundlage
für,für
die,der
Ver-,Ver
dinngen,dinngen
mit,mit
