Token,Lemma
TE,TE
 , 
iy,iy
 , 
4,4
 , 
cf,cf
H,H
ä,ä
 , 
*,*
Der,der
Siu,Siu
!,--
des,der
Retchhsfanzle,Retchhsfanzle
:,--
“,--
ses,ses
hat,haben
feinem,Feinem
wohl,wohl
noch,noch
keine,kein
»,--
:,--
zrtige,zrtig
gesehen,sehen
",",--
wie,wie
sie,sie
gestern,gestern
ols,ols
„,--
Aeichofonfo,Aeichofonfo
:,--
enz,enz
der,der
Burdevregierungen,burdevregierungen
"""",--
bego3-,bego3-
am,am
hat,haben
.,--
rb,--
gp,gp
Frogger,Frogger
iche,ich
Bedentung,Bedentung
für,für
die,der
Zukunft,Zukunft
urseres,urser
Beater,Beater
»,--
landes,Land
zufommt,zufommt
",",--
wurde,werden
von,von
dem,der
Voks2e0:f-,Voks2e0:f-
frozen,frozen
Ebert,Ebert
gleitet,gleiten
.,--
Die,der
übrigen,übrig
Dol,dol
?,--
sbe,sbe
»,--
und,und
u,u
 , 
Gen,Gen
Teteien,Teteien
fowie,fowie
ale,al
Reso,Reso
sortmi'nistar,sortmi'nistar
wohnten,wohnen
der,der
Sthung,Sthung
bei,bei
.,--
Als,als
Vertreter,Vertreter
der,der
Cinzalftoaten,Cinzalftoat
waren,sein
e:<hieren,e:<hieren
für,für
 , 
MintKer,MintKer
und,und
bisherigen,bisherig
Lbog,Lbog
.,--
 , 
nauer,nauer
(,--
N-Sop,N-Sop
),--
u.,u.
Landtagsabg,Landtagsabg
",",--
Lipinski,Lipinski
(,--
Ul,Ul
.,--
Eop,eop
.,--
),--
",",--
für,für
Bürtiemberg,Bürtiemberg
Netthstagsabg,Netthstagsabg
",",--
Hildenbrand,Hildenbrand
(,--
Esz,Esz
.,--
),--
",",--
Landtagsadg,Landtagsadg
.,--
Hei,Hei
»,--
mann,Mann
(,--
Sog,Sog
),--
und,und
Redakteur,Redakteur
Crispin,Crispin
(,--
U.,U.
Caz,Caz
.,--
),--
",",--
fr,fr
Baden,Baden
Ministerpräsideut,Ministerpräsideut
Se,Se
i,i
ß,ß
(,--
Soz,Soz
),--
und,und
Winister,Winister
des,der
Zunern,Zuner
Dr.,Dr.
Haas,Haas
(,--
Ypt,Ypt
.,--
),--
",",--
Ar,Ar
Heffen,Heffe
Mintstexpoliident,Mintstexpoliident
U1ci,U1ci
<,<
(,--
Soz,Soz
),--
und,und
Gesandter,Gesandter
5.,5.
Diegeleven,Diegeleve
",",--
für,für
 , 
Ghwerin,Ghwerin
Sivkovich,Sivkovich
(,--
Bpt,Bpt
.,--
),--
ünd,ünd
Redaktemz,Redaktemz
Sta,Sta
rossen,rossen
(,--
Soz,Soz
),--
",",--
für,für
Ofdenburg,Ofdenburg
Aby,Aby
.,--
H,H
ug,ug
(,--
Soz,Soz
.,--
),--
",",--
Präsident,Präsident
Kuhnt,Kuhnt
(,--
Cop,Cop
),--
und,und
Müister,Müister
Scheer,Scheer
(,--
U.,U.
Eoz,Eoz
.,--
),--
für,für
Braunschweig,Braunschweig
Boden,Boden
",",--
Volkskom-,Volkskom
nisser,niss
EEardt,EEardt
(,--
Ul,Ul
.,--
Eoz,Eoz
.,--
),--
und,und
Ratovorsihender,Ratovorsihender
E,E
Hh,Hh
",",--
für,für
Gachfen-Meiningen,Gachfen-Meininge
der,der
Borsizande,Borsizande
des,der
Etaatzrates,Etaatzrat
v.,v.
Türde,Türde
",",--
für,für
Gachsen-Alien-,Gachsen-Alien-
bung,Bung
Minister,Minister
Pell,Pell
und,und
Staatsrat,Staatsrat
Mehnert,Mehnert
",",--
für,für
Anhalt,Anhalt
Präsident,Präsident
Wolfgang,Wolfgang
H,H
ei,ei
ne,ne
(,--
Soz,Soz
.,--
),--
",",--
für,für
Sezwarzburg-Audoistadt,Sezwarzburg-Audoistadt
der,der
Lorsidende,Lorsidende
des,der
Gyfomtministeriums,Gyfomtministerium
Harrmann,Harrmann
(,--
Soz,Soz
),--
und,und
Deheimrat,Deheimrat
Werner,Werner
",",--
für,für
Reuß,Reuß
ltere,lter
Linis,Linis
Dia,Dia
Negiernungomitalioder,Negiernungomitalioder
Oberländer,Oberländer
und,und
Hflor,Hflor
",",--
für,für
Reuß,Reuß
fürgere,fürg
Linie,Linie
Ministere,Minister
präsident,Präsident
3,3
",",--
Franden,Franden
urd,urd
Gtaatzrat,Gtaatzrat
Vet-,Vet
Ferfoein,Ferfoein
",",--
für,für
GhanmburgLippe,GhanmburgLippe
das,der
Mit-,Mit
 , 
für,für
Lippe-DehmoD,Lippe-DehmoD
Goheimrat,Goheimrat
Werner,Werner
",",--
»,--
Hofer,Hofer
(,--
Vp,Vp
.,--
),--
und,und
Ciemens,Ciemen
 , 
(,--
Goz-,Goz
),--
",",--
für,für
Lübel,Lübel
Vürgermeisier,Vürgermeisier
Feh-,Feh
(,--
604.,604.
),--
Bremen,Bremen
und,und
Hamburg,Hamburg
der,der
 , 
Vir,Vir
lassen,lassen
uunmchr,Uunmchr
den,der
amtlichen,amtlich
Dechandlungsderict,Dechandlungsderict
folgen,folgen
:,--
Die,der
Verhandlungen,Verhandlung
wurden,werden
durch,durch
