Token,Lemma
ß,ß
ef,ef
e,e
Angriffe,Angriff
gegen,gegen
Lloyd,Lloyd
George,George
.,--
 , 
Ein,ein
Nachfolger,Nachfolger
wird,werden
gesucht,suchen
.,--
 , 
Kelegr,Kelegr
.,--
eres,eres
Kortespondenfen,Kortespondenf
",",--
Bern,Bern
",",--
23,23
April,April
.,--
Die,der
Morningpost,Morningpost
seht,sehen
ihre,ihr
heftigen,heftig
Angriffe,Angriff
pegen,peg
Lloyd,Lloyd
George,George
Tag,Tag
für,für
Tag,Tag
sort,sort
.,--
Die,der
uschuldigung,Uschuldigung
der,der
konservativen,konservativ
Viilitärpartei,Viilitärpartei
",",--
daß,daß
Lloyd,Lloyd
Geovge,Geovge
für,für
die,der
yahlenmäßige,yahlenmäßig
Unzu-,Unzu
änglichteit,änglichteit
en,en
der,der
französischen,französisch
Front,Front
verant,verant
“,--
ortlic,Ortlic
),--
jei,jei
",",--
findet,finden
in,in
der,der
fentlichen,fentlich
Meimung,Meimung
in,in
Immer,immer
ftärter,ftärt
werdendes,werdend
Cho,Cho
.,--
Biel,Biel
 , 
Blätter,Blatt
diskutieren,diskutieren
die,der
Möglichkeit,Möglichkeit
eine,ein
euen,eu
KRriegskabinetts,KRriegskabinett
",",--
Es,es
wird,werden
all-,all
wein,Wein
zugestanden,zugestehen
",",--
daß,daß
Lloyd,Lloyd
George,George
schon,schon
längst,längst
gestürzt,stürzen
wäre,sein
und,und
daß,daß
jein,jein
Kabinett,Kabinett
Ihon,Ihon
nach,nach
den,der
ersten,erster
Erfolgen,Erfolg
der,der
deutschen,deutsch
nstwe,Nstwe
einer,ein
neuen,neu
Regierung,Regierung
Plaß,Plaß
gemacht,machen
ätte,ätten
",",--
wenn,wenn
sich,sich
nur,nur
irgendein,irgendein
führender,führend
Staats,Staat
[,[
nann,nann
bereit,bereit
gezeigt,zeigen
hätte,haben
",",--
die,der
Nachfolge,Nachfolge
zu,zu
Über,über
»,--
ehmen,ehmen
.,--
Die,der
Iorningpost,Iorningpost
scchlägt,scchlägen
einen,ein
neuen,neu
Kandidaten,Kandidat
für,für
die,der
Premierschaft,Premierschaft
vor,vor
und,und
ar,ar
den,der
gegenwärtigen,gegenwärtig
Minister,Minister
des,der
Innern,Inner
Sir,Sir
George,George
C,C
avs,avs
",",--
der,der
in,in
den,der
lehien,lehie
Wochen,Woche
[,[
mit,mit
kriegerischen,kriegerisch
Reden,Rede
aussallend,aussallend
in,in
den,der
 , 
vordergrund,Vordergrund
getzeten,getzet
if,if
