Token,Lemma
[,[
8.3.0002,8.3.0002
 , 
tan,tan
 , 
15,15
 , 
Kahmen,Kahme
eite,eiten
Den,der
0,0
Rena,Rena
",",--
den,der
I,I
ig,IG
Bet,Bet
 , 
aktion,Aktion
:,--
SW68,SW68
",",--
zen,zen
wich,weichen
 , 
wicht,Wicht
 , 
und,und
eit,eit
er,er
bei,bei
s4nellster,s4nellster
Uehermitttang,Uehermitttang
",",--
 , 
X,X
 , 
er,er
Behnhofür,Behnhofür
.,--
9,9
NW,NW
:,--
jeuener,Jeuener
Gtr,Gtr
.,--
2,2
",",--
Yofen,Yofe
:,--
Bert,Bert
Ett,Ett
",",--
16,16
;,--
E16,E16
 , 
straße,Straße
22,22
 , 
26.,26.
|,|
g,g
ad,ad
a,--
|,|
24.,24.
Jahrg,Jahrg
",",--
 , 
Urt,Urt
fini,fini
 , 
Rußland,Rußland
erklärt,erklären
den,der
Krieg,Krieg
für,für
beendet,beenden
 , 
die,der
russische,russisch
Erklärung,Erklärung
",",--
 , 
Breft-Litowsfk,breft-Litowsfk
",",--
10.,10.
Februar,Februar
.,--
Die,der
deutsch,deutsch
-,--
bsterreichisch,bsterreichisch
-,--
ungarische,ungarisch
Dussische,Dussische
Kommission,Kommission
füv,füvn
die,der
Behand-,Behand
 , 
ergebenden,ergebend
weiteren,weit
Pesprechungen,Pesprechung
zwischen,zwischen
den,der
Mächten,Mächt
des,der
Vierbundes,Vierbund
und,und
Nußsand,Nußsand
über,über
die,der
Ger,Ger
ftaltung,Ftaltung
der,der
wechselfeitigen,wechselfeitig
diplomati-,diplomati-
fchen,fch
",",--
konsularischen,konsularisch
",",--
rechtlichen,rechtlich
und,und
wirtschaftlichen,wirtschaftlich
Beziehungen,Beziehung
verwies,verweisen
Herr,Herr
Troßki,Troßki
auf,auf
den,der
Weg,Weg
unmittelbaren,unmittelbar
Verkehrs,Verkehr
zwischen,zwischen
den,der
beteiligten,beteiligt
Ne-,Ne
gierungen,Gierunge
und,und
auf,auf
die,der
bereits,bereits
in,in
Peters-,Peters
hurg,Hurg
befindlichen,befindlich
Kommissionen,Kommission
des,der
Vierbundes,Vierbund
",",--
 , 
Ne,Ne
Beweggründe,Beweggrund
der,der
Bolfsfommissgare,Bolfsfommissgar
.,--
 , 
Trogzti,Trogzti
nach,nach
Petersburg,Petersburg
gereift,reifen
.,--
Zelegrophischer,Zelegrophischer
Bericht,Bericht
.,--
Petereburg,Petereburg
(,--
indirekt,indirekt
),--
",",--
11,11
",",--
Fobruar,Fobruar
",",--
Der,der
Rat,Rat
der,der
Volksbeauftragten,Volksbeauftragt
hielt,halten
im,in
5molny-Infritut,5molny-Infritut
eine,ein
besondere,besonderer
Sißung,Sißung
ab,ab
",",--
die,der
unter,unter
dem,der
Vorfiß,Vorfiß
Lenins,Lenin
die,der
Stellungnahme,Stellungnahme
der,der
Päte-Negierung,Päte-Negierung
zur,zu
Friedensfrage,Friedensfrage
erörterte,erörtern
und,und
nach,nach
heftiger,heftig
Devatte,Devatte
deu,deu
Beschluß,Beschluß
faßte,fassen
",",--
dem,der
%,%
oltsbeoustragten,oltsbeoustragen
Troßki,Troßki
telegrophisch,telegrophisch
