Token,Lemma
vw,vw
88,88
",",--
Kocqte,Kocqte
",",--
22:26,22:26
",",--
 , 
een,een
ee,ee
Chenforten,Chenforten
 , 
Vormarsch,Vormarsch
beiderseits,Beiderseit
von,von
Reims,Reims
.,--
 , 
2bhaffe,2bhaffe
Kämpfe,Kampf
an,an
der,der
Gebirgssront,Gebirgssront
.,--
 , 
Telegraphischer,Telegraphischer
Berit,Berit
",",--
Wien,Wien
",",--
15.,15.
Zult,Zult
.,--
Amtlich,amtlich
wird,werden
verlautbart,Verlautbart
:,--
An,an
den,der
Gebirgsfronten,Gebirgsfront
ist,sein
beiderseits,Beiderseit
die,der
Ar-,Ar
erietätigkeit,Erietätigkeit
andauernd,andauernd
lebhaft,lebhaft
.,--
Der,der
Chef,Chef
des,der
Generalstabes,Generalstabe
.,--
 , 
[,[
vie,vie
Kriegsgesaagenen-Fouferenz,Kriegsgesaagenen-Fouferenz
im,in
Haag,Haag
beeadet,beeaden
.,--
Telegraphisher,Telegraphisher
Berit,Berit
",",--
Amsterdau,amsterdau
.,--
",",--
15,15
",",--
Zult,Zult
.,--
Algemeen,Algemeen
Handelsblad,Handelsblad
meldet,melden
aus,aus
dem,der
Haag,Haag
",",--
','
ß,ß
der,der
Minister,Minister
des,der
Aeußern,Aeußern
gestern,gestern
um,um
8,8
jr,jr
abends,abends
int,inen
Traves-Saal,Traves-Saal
die,der
deutsch-euglische,deutsch-euglisch
Be,Be
ben,ben
],]
gejchlofjen,gejchlofjen
hat,haben
",",--
 , 
Ueber,Ueber
die,der
Ergebnisse,Ergebnis
|,|
der,der
Konferenz,Konferenz
liegt,liegen
b,--
',--
x,x
kein,kein
Bericht,Bericht
vor,vor
",",--
doch,doch
dürfte,dürfen
er,er
wohl,wohl
nicht,nicht
chr,chr
lange,lange
auf,auf
sich,sich
warten,warten
lassen,lassen
.,--
 , 
eränderung,Eränderung
?,--
n,n
im,in
türkischen,türkisch
Kavinott,Kavinott
.,--
 , 
Ein,ein
neues,neu
Ernährungö-Ministerium,Ernährungö-Ministerium
«,--
Telegraphisicher,Telegraphisicher
Bericht,Bericht
.,--
Kons,Kons
:,--
antinopel,Antinopel
",",--
 , 
Dr.,Dr.
Hambolat,Hambolat
Bey,Bey
ist,sein
zum,zu
Min,Min
',--
ern,ern
ernannt,ernennen
worden,werden
",",--
neue,neu
Minifier,Minifier
 , 
13,13
t,t
türkischer,türkisch
Gesandter,Gesandter
in,in
Eto,Eto
«,--
 , 
dungen,dungen
zufolge,zufolge
soll,sollen
das,der
Mitglied,Mitglied
des,der
Fen-,Fen
 , 
