Token,Lemma
eieit,Eieit
4:1,4:1
 , 
die,der
deldenurütige,deldenurütig
=,=
 , 
x,x
Er,er
 , 
Lande,Land
er,er
 , 
7,7
Lefts,Lefts
 , 
;,--
?,--
 , 
1,1
HIE,HIE
|,|
;,--
 , 
x,x
 , 
(,--
MW,MW
;,--
 , 
»,--
h,h
dmiralstabes,dmiralstabes
der,der
Marine,Marine
nachstehen,nachstehen
»,--
der,der
Telegram,Telegram
 , 
fing,fing
den,der
Gtaoatssekretär,Gtaoatssekretär
Dr.,Dr.
v.,v.
Kühlmann,Kühlmann
und,und
hörte,hören
später,spät
die,der
Vorträge,Vortrag
des,der
Chefs,Chef
des,der
Marine,Marine
»,--
 , 
44090,44090
Tonnen,Tonne
versenkt,versenken
.,--
(,--
VW,VW
.,--
T.,T.
VB,VB
.,--
),--
Borüin,Borüin
",",--
81.,81.
Dezember,Dezember
.,--
 , 
Neue,neu
U-Boots-Evfolge,U-Boots-Evfolge
in-,in
der,der
Biscaya,Biscaya
",",--
englifcen,englifcen
Kanal,Kanal
und,und
inder,ind
Zr>-,Zr>-
n-,n-
BroM.-I.,BroM.-I.
 , 
im,in
scchen-SGee,Scchen-SGee
:,--
2s208,2s208
Unter,unter
den,der
Mog,Mog
1,1
“,--
(,--
1818,1818
Frankreich,Frankreich
ein,ein
mi,mi
 , 
[,[
ona,ona
Dura,Dura
:,--
(,--
erh,erh
38.,38.
Vein,Vein
 , 
die,der
.,--
englische,englisch
Schlappe,Schlappe
bei-Cambrai,bei-Cambrai
.,--
 , 
(,--
W.,W.
T.,T.
B.,B.
),--
Berlin,Berlin
",",--
31.,31.
Dezember,Dezember
",",--
abends,abends
.,--
 , 
Bei,bei
Cambrai,Cambrai
erlitten,erleiden
die,der
Engiänder,Engiänd
am,an
30.,30.
Dezember,Dezember
",",--
eine,ein
empfindliche,empfindlich
1.,1.
Sei,Sei
den,der
im,in
Seeresbericht,Seeresbericht
vom,von
 , 
31.,31.
Dezember,Dezember
gemeldeten,gemeldet
erfolgreichen,erfolgreich
deutschen,deutsch
 , 
-,--
],]
Vorssößen-,Vorssöße
südlich,südlich
M-a,M-a
rc,rc
0,0
img,img
und,und
nördlich,nördlich
L,L
a,a
 , 
Vocquerie,Vocquerie
verloren,verlieren
die,der
Ergländer,Ergland
je,je
1290,1290
und,und
1900,1900
Meter,Meter
Gelände,Gelände
.,--
Die,der
Engländer,Engländer
sezten,sezen
sofort,sofort
starke,stark
